                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76271,                0.84958,                 1.2184,                0.60049,                0.63563,                0.64293,                0.52894,                0.64094,                0.77108,                 1.1559,              0.0093268,              0.0093268,              0.0093268
                     36,                0.75596,                0.83648,                 1.2131,                0.58396,                0.64843,                0.62365,                0.52362,                0.59171,                0.76633,                 1.1234,               0.009307,               0.009307,               0.009307
                     37,                0.76291,                0.84513,                 1.2141,                0.47937,                0.72742,                0.60067,                0.50802,                0.57097,                0.79211,                 1.0969,              0.0092872,              0.0092872,              0.0092872
                     38,                0.75657,                0.83863,                 1.2194,                0.58303,                0.66069,                0.63003,                0.53155,                0.60649,                0.77628,                 1.1375,              0.0092674,              0.0092674,              0.0092674
                     39,                0.74441,                0.82907,                 1.2083,                0.56709,                0.64189,                0.61435,                0.51583,                0.58365,                0.80644,                  1.128,              0.0092476,              0.0092476,              0.0092476
                     40,                0.74178,                0.81972,                 1.2041,                 0.4996,                0.72177,                0.61735,                0.52033,                0.57535,                0.81924,                 1.1148,              0.0092278,              0.0092278,              0.0092278
                     41,                0.73039,                0.80669,                 1.1937,                0.54645,                0.69116,                0.63376,                0.53782,                0.56526,                0.82556,                 1.1032,               0.009208,               0.009208,               0.009208
                     42,                0.73254,                0.80657,                 1.1996,                0.49424,                0.63689,                  0.583,                0.48436,                0.61948,                0.92886,                 1.1571,              0.0091882,              0.0091882,              0.0091882
                     43,                0.74691,                0.80491,                 1.2071,                0.52771,                0.69489,                0.59055,                0.50091,                 0.5908,                0.85643,                 1.1116,              0.0091684,              0.0091684,              0.0091684
                     44,                  0.734,                0.80505,                 1.1975,                0.51664,                0.66572,                0.61201,                0.51518,                0.59715,                  0.838,                 1.1305,              0.0091486,              0.0091486,              0.0091486
                     45,                0.72987,                0.79509,                  1.199,                0.52623,                0.66002,                0.60494,                0.51928,                 0.5742,                0.84079,                 1.1141,              0.0091288,              0.0091288,              0.0091288
                     46,                0.72381,                0.78407,                 1.1923,                0.55482,                0.70492,                0.63565,                0.54231,                0.56683,                0.78311,                 1.1156,               0.009109,               0.009109,               0.009109
                     47,                0.71677,                0.77847,                  1.188,                0.57294,                0.68479,                0.62599,                0.53676,                0.56093,                0.79603,                 1.1137,              0.0090892,              0.0090892,              0.0090892
                     48,                0.71142,                0.77545,                 1.1837,                0.59736,                0.64177,                0.64095,                0.55305,                0.53649,                0.78377,                 1.0794,              0.0090694,              0.0090694,              0.0090694
                     49,                0.71689,                0.78301,                 1.1896,                0.52656,                0.68297,                0.61795,                0.51971,                0.57443,                0.85028,                 1.1236,              0.0090496,              0.0090496,              0.0090496
                     50,                0.71691,                0.76998,                 1.1888,                0.53283,                0.67759,                0.60727,                0.52087,                0.57733,                0.89099,                 1.1082,              0.0090298,              0.0090298,              0.0090298
                     51,                0.70579,                0.75969,                 1.1837,                0.55288,                0.70741,                0.62738,                0.54947,                0.53182,                0.77447,                 1.0745,                0.00901,                0.00901,                0.00901
                     52,                0.70158,                0.75693,                 1.1784,                0.51019,                0.69568,                0.59133,                0.50922,                 0.5667,                0.86857,                 1.0912,              0.0089902,              0.0089902,              0.0089902
                     53,                0.70626,                0.75405,                 1.1836,                 0.5254,                0.74554,                0.62542,                0.53585,                0.54963,                0.82477,                 1.1088,              0.0089704,              0.0089704,              0.0089704
                     54,                0.69459,                0.74598,                 1.1779,                0.56139,                 0.6885,                0.62329,                0.53791,                0.54458,                0.79111,                 1.1071,              0.0089506,              0.0089506,              0.0089506
                     55,                0.69792,                0.74744,                 1.1784,                0.55352,                0.70343,                0.64048,                 0.5539,                0.52968,                0.76888,                 1.0756,              0.0089308,              0.0089308,              0.0089308
                     56,                0.68842,                0.72886,                 1.1692,                0.60977,                0.59772,                0.61224,                 0.5287,                0.54822,                0.83149,                 1.0943,               0.008911,               0.008911,               0.008911
                     57,                0.68969,                0.72898,                 1.1639,                0.54715,                0.66856,                 0.5927,                 0.5016,                0.57464,                 0.8573,                 1.0998,              0.0088912,              0.0088912,              0.0088912
                     58,                0.69491,                0.73183,                 1.1805,                0.48023,                 0.7634,                 0.6316,                0.54513,                0.53687,                0.78358,                 1.0829,              0.0088714,              0.0088714,              0.0088714
                     59,                0.68639,                0.73047,                 1.1679,                 0.5372,                0.67539,                0.61579,                0.52931,                 0.5523,                0.81731,                 1.0984,              0.0088516,              0.0088516,              0.0088516
                     60,                0.67836,                0.72114,                 1.1582,                0.51895,                0.67488,                0.60195,                0.51915,                0.55525,                0.83416,                 1.1089,              0.0088318,              0.0088318,              0.0088318
                     61,                0.68239,                0.71037,                 1.1688,                0.50275,                0.69831,                0.60837,                0.52369,                0.54337,                0.84149,                 1.0838,               0.008812,               0.008812,               0.008812
                     62,                0.68488,                0.72102,                 1.1667,                0.49969,                0.72908,                0.60733,                0.52413,                 0.5519,                0.79756,                 1.0833,              0.0087922,              0.0087922,              0.0087922
                     63,                0.68897,                0.71222,                 1.1714,                0.55629,                0.67269,                 0.6127,                0.52846,                0.53731,                0.84901,                 1.0775,              0.0087724,              0.0087724,              0.0087724
                     64,                0.68327,                0.71177,                 1.1665,                0.53723,                0.75152,                0.62208,                0.53892,                0.51864,                0.81271,                 1.0583,              0.0087526,              0.0087526,              0.0087526
                     65,                0.68494,                0.70121,                 1.1645,                0.56188,                0.67984,                0.61624,                0.53646,                0.52447,                0.82458,                 1.0604,              0.0087328,              0.0087328,              0.0087328
