                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63342,                0.73465,                 1.1242,                0.61424,                0.73049,                0.69793,                0.60887,                0.51306,                 0.6813,                 1.0756,             0.00059403,             0.00059403,             0.00059403
                     37,                0.62827,                0.72863,                 1.1219,                0.58563,                0.74538,                0.69155,                0.60104,                0.50337,                0.70321,                 1.0564,             0.00058503,             0.00058503,             0.00058503
                     38,                0.63645,                0.72933,                 1.1297,                0.64189,                0.75006,                0.71841,                 0.6334,                0.49287,                 0.6707,                 1.0503,             0.00057603,             0.00057603,             0.00057603
                     39,                0.61715,                0.70781,                 1.1146,                0.53416,                0.76085,                0.65614,                0.57068,                0.51011,                0.74544,                 1.0632,             0.00056703,             0.00056703,             0.00056703
                     40,                0.62198,                0.71162,                 1.1178,                0.65282,                0.66775,                0.69025,                0.61645,                0.48744,                0.67122,                 1.0415,             0.00055804,             0.00055804,             0.00055804
                     41,                0.61416,                0.70797,                 1.1089,                0.65031,                0.71736,                0.69948,                 0.6187,                0.47308,                0.69571,                 1.0318,             0.00054904,             0.00054904,             0.00054904
                     42,                0.60883,                0.69979,                 1.1041,                0.64097,                0.69458,                0.69784,                0.61057,                0.49531,                0.67207,                 1.0557,             0.00054004,             0.00054004,             0.00054004
                     43,                0.61492,                0.69482,                 1.1143,                0.67472,                0.70244,                  0.726,                0.63846,                0.48292,                0.64927,                 1.0352,             0.00053104,             0.00053104,             0.00053104
                     44,                 0.6055,                0.69747,                 1.1079,                0.66834,                0.67421,                 0.7127,                0.62778,                0.49708,                0.67818,                 1.0607,             0.00052204,             0.00052204,             0.00052204
                     45,                0.60596,                0.69127,                 1.1084,                0.61234,                0.80519,                0.72304,                0.63082,                0.48306,                0.65162,                 1.0383,             0.00051304,             0.00051304,             0.00051304
                     46,                0.60327,                0.68972,                 1.1039,                0.63309,                0.77074,                0.72049,                0.63386,                0.48887,                0.66316,                 1.0427,             0.00050404,             0.00050404,             0.00050404
                     47,                0.59242,                0.66782,                 1.0993,                0.65474,                0.71895,                 0.7159,                0.63363,                0.45632,                0.66047,                 1.0245,             0.00049504,             0.00049504,             0.00049504
                     48,                0.59355,                0.67676,                 1.1028,                0.61613,                0.75259,                0.70948,                0.62706,                0.47009,                0.68243,                 1.0191,             0.00048604,             0.00048604,             0.00048604
                     49,                0.59744,                0.66945,                 1.1034,                  0.659,                0.77349,                0.72861,                0.65044,                0.46375,                0.64219,                 1.0248,             0.00047704,             0.00047704,             0.00047704
                     50,                0.58972,                 0.6688,                 1.0982,                0.61146,                0.78135,                 0.7147,                0.63756,                0.45231,                0.64703,                 1.0223,             0.00046804,             0.00046804,             0.00046804
                     51,                0.58068,                0.65054,                 1.0942,                0.62685,                0.77485,                0.72218,                0.63509,                 0.4797,                0.67913,                 1.0493,             0.00045904,             0.00045904,             0.00045904
                     52,                0.58378,                0.64978,                 1.0942,                0.66641,                 0.7238,                0.72653,                0.64216,                0.46075,                0.65021,                 1.0284,             0.00045005,             0.00045005,             0.00045005
                     53,                0.58392,                 0.6473,                 1.0944,                0.66751,                0.76596,                0.74658,                0.66911,                0.45514,                0.62894,                 1.0204,             0.00044105,             0.00044105,             0.00044105
                     54,                0.58043,                0.64539,                 1.0915,                0.67998,                 0.7047,                0.71497,                0.63838,                0.43914,                0.68357,                 1.0105,             0.00043205,             0.00043205,             0.00043205
                     55,                0.57824,                0.63956,                 1.0902,                0.70954,                0.67853,                0.72116,                0.64487,                 0.4517,                0.66007,                 1.0173,             0.00042305,             0.00042305,             0.00042305
                     56,                0.57053,                0.63954,                 1.0877,                0.69203,                0.68364,                0.71647,                0.63688,                0.45559,                0.67122,                 1.0224,             0.00041405,             0.00041405,             0.00041405
                     57,                0.57022,                  0.628,                 1.0852,                0.67435,                0.71308,                0.73238,                 0.6435,                0.46879,                0.64886,                 1.0346,             0.00040505,             0.00040505,             0.00040505
                     58,                0.57117,                0.62528,                 1.0901,                0.68224,                 0.7008,                0.72275,                0.63971,                0.45964,                0.65164,                 1.0103,             0.00039605,             0.00039605,             0.00039605
                     59,                0.55799,                0.60641,                 1.0767,                0.67131,                0.76029,                0.73552,                0.65649,                0.44806,                0.61933,                 1.0053,             0.00038705,             0.00038705,             0.00038705
                     60,                0.55967,                0.60925,                 1.0786,                0.67222,                0.74917,                0.73485,                 0.6579,                 0.4444,                0.67377,                 1.0076,             0.00037805,             0.00037805,             0.00037805
                     61,                0.55868,                0.61422,                 1.0792,                0.62773,                0.73183,                0.72017,                0.64008,                0.44523,                0.69104,                  1.016,             0.00036905,             0.00036905,             0.00036905
                     62,                0.56104,                0.60862,                 1.0795,                0.62216,                0.79482,                0.73398,                0.65932,                0.43902,                0.63178,                 1.0041,             0.00036005,             0.00036005,             0.00036005
                     63,                0.54608,                 0.6034,                 1.0744,                0.70512,                0.69168,                0.72502,                0.64438,                0.45748,                0.66394,                 1.0172,             0.00035106,             0.00035106,             0.00035106
                     64,                 0.5542,                0.60561,                 1.0775,                0.72859,                0.70721,                 0.7625,                0.68246,                0.44792,                0.61735,                 1.0153,             0.00034206,             0.00034206,             0.00034206
                     65,                0.55159,                0.59485,                 1.0762,                0.64469,                0.76159,                0.72962,                0.64543,                0.45444,                 0.6843,                 1.0211,             0.00033306,             0.00033306,             0.00033306
                     66,                 0.5458,                0.58969,                 1.0712,                0.68336,                 0.7197,                 0.7398,                0.65657,                0.44829,                0.66549,                 1.0132,             0.00032406,             0.00032406,             0.00032406
                     67,                0.53398,                0.58827,                 1.0626,                 0.6293,                 0.7622,                0.71905,                0.64167,                0.44593,                0.67328,                  1.014,             0.00031506,             0.00031506,             0.00031506
                     68,                0.53727,                0.58051,                 1.0671,                0.65121,                0.76932,                0.72708,                0.64581,                0.44672,                0.67503,                 1.0055,             0.00030606,             0.00030606,             0.00030606
                     69,                0.53569,                0.58171,                 1.0644,                0.70644,                0.72084,                 0.7443,                0.66727,                0.46139,                0.66901,                  1.027,             0.00029706,             0.00029706,             0.00029706
                     70,                0.53141,                0.56775,                 1.0618,                0.69193,                0.70441,                0.74769,                0.67233,                0.43138,                0.65406,                0.99985,             0.00028806,             0.00028806,             0.00028806
                     71,                0.53049,                0.56144,                 1.0622,                 0.7231,                 0.7087,                0.75681,                0.67908,                0.43096,                0.63689,                0.99255,             0.00027906,             0.00027906,             0.00027906
                     72,                0.52798,                 0.5592,                 1.0609,                0.68989,                0.76088,                 0.7682,                0.68794,                0.44276,                0.62057,                 1.0039,             0.00027006,             0.00027006,             0.00027006
                     73,                  0.526,                0.56636,                 1.0643,                0.67656,                0.77029,                0.74987,                0.67258,                0.44274,                0.65218,                  1.005,             0.00026106,             0.00026106,             0.00026106
                     74,                  0.524,                0.55681,                 1.0619,                0.65898,                0.78757,                0.73622,                0.65769,                0.44678,                0.64431,                 1.0101,             0.00025207,             0.00025207,             0.00025207
                     75,                0.52478,                0.56524,                 1.0615,                0.68876,                0.73006,                0.72787,                0.65115,                0.44431,                0.68286,                 1.0172,             0.00024307,             0.00024307,             0.00024307
