                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.06592,                0.41667,                0.83333,                  2.043,                      0,                      0,                      0
                      2,                0.06157,                0.41667,                0.83333,                  2.043,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                0.11033,                0.41667,                0.83333,                  2.041,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                0.10897,                0.41667,                0.83333,                  2.041,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                0.14945,                0.41667,                0.83333,                  2.043,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                0.12486,                0.41667,                0.83333,                 2.0449,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                0.13872,                0.41667,                0.83333,                  2.043,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                0.08905,                0.41667,                0.83333,                  2.043,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                0.06123,                0.41667,                0.83333,                  2.041,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                0.15366,                0.41667,                0.83333,                 2.0391,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                0.14579,                0.41667,                   0.75,                 2.0352,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                0.05663,                0.41667,                   0.75,                 2.0332,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                0.12533,                0.41667,                   0.75,                 2.0312,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                 0.0788,                0.41667,                   0.75,                 2.0293,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                0.07654,                0.41667,                   0.75,                 2.0254,             8.6106e-05,             8.6106e-05,             8.6106e-05
                     16,                0.06656,                0.41667,                   0.75,                 2.0215,             9.1196e-05,             9.1196e-05,             9.1196e-05
                     17,                0.08331,                0.41667,                   0.75,                 2.0195,             9.6144e-05,             9.6144e-05,             9.6144e-05
                     18,                0.05791,                0.41667,                   0.75,                 2.0195,             0.00010095,             0.00010095,             0.00010095
                     19,                0.04126,                0.41667,                   0.75,                 2.0195,             0.00010562,             0.00010562,             0.00010562
                     20,                0.04749,                0.41667,                   0.75,                 2.0195,             0.00011014,             0.00011014,             0.00011014
                     21,                0.05588,                0.41667,                   0.75,                 2.0195,             0.00011453,             0.00011453,             0.00011453
                     22,                0.07879,                0.41667,                   0.75,                 2.0195,             0.00011877,             0.00011877,             0.00011877
                     23,                0.05687,                0.41667,                0.83333,                 2.0176,             0.00012287,             0.00012287,             0.00012287
                     24,                0.12574,                0.41667,                0.83333,                 2.0176,             0.00012683,             0.00012683,             0.00012683
                     25,                0.04829,                0.41667,                0.83333,                 2.0195,             0.00013064,             0.00013064,             0.00013064
                     26,                0.10872,                0.41667,                0.83333,                 2.0195,             0.00013432,             0.00013432,             0.00013432
                     27,                0.03052,                0.41667,                0.83333,                 2.0195,             0.00013786,             0.00013786,             0.00013786
                     28,                0.02633,                0.41667,                0.83333,                 2.0195,             0.00014125,             0.00014125,             0.00014125
                     29,                0.06727,                0.41667,                0.83333,                 2.0195,              0.0001445,              0.0001445,              0.0001445
                     30,                0.03573,                0.41667,                0.83333,                 2.0195,             0.00014761,             0.00014761,             0.00014761
                     31,                0.06415,                0.41667,                0.83333,                 2.0215,             0.00015058,             0.00015058,             0.00015058
                     32,                0.02941,                0.41667,                0.83333,                 2.0215,             0.00015341,             0.00015341,             0.00015341
                     33,                0.04938,                0.41667,                0.83333,                 2.0234,              0.0001561,              0.0001561,              0.0001561
                     34,                 0.0639,                0.41667,                0.83333,                 2.0234,             0.00015864,             0.00015864,             0.00015864
                     35,                0.04479,                0.41667,                0.83333,                 2.0234,             0.00016105,             0.00016105,             0.00016105
                     36,                0.10119,                0.41667,                0.83333,                 2.0234,             0.00016331,             0.00016331,             0.00016331
                     37,                0.05311,                0.41667,                0.83333,                 2.0234,             0.00016543,             0.00016543,             0.00016543
                     38,                0.03047,                0.41667,                0.83333,                 2.0234,             0.00016741,             0.00016741,             0.00016741
                     39,                0.04912,                0.41667,                0.83333,                 2.0234,             0.00016925,             0.00016925,             0.00016925
                     40,                0.02373,                0.41667,                0.83333,                 2.0234,             0.00017095,             0.00017095,             0.00017095
                     41,                0.06043,                0.41667,                0.83333,                 2.0254,              0.0001725,              0.0001725,              0.0001725
                     42,                0.02369,                0.41667,                0.83333,                 2.0254,             0.00017392,             0.00017392,             0.00017392
                     43,                0.02319,                0.41667,                0.83333,                 2.0273,             0.00017519,             0.00017519,             0.00017519
                     44,                0.02261,                0.41667,                0.83333,                 2.0273,             0.00017632,             0.00017632,             0.00017632
                     45,                0.02145,                0.41667,                0.83333,                 2.0254,             0.00017731,             0.00017731,             0.00017731
                     46,                0.02082,                0.41667,                0.83333,                 2.0254,             0.00017816,             0.00017816,             0.00017816
                     47,                0.03439,                0.41667,                0.83333,                 2.0254,             0.00017887,             0.00017887,             0.00017887
                     48,                0.02972,                0.41667,                0.83333,                 2.0254,             0.00017943,             0.00017943,             0.00017943
                     49,                0.03361,                0.41667,                0.83333,                 2.0254,             0.00017986,             0.00017986,             0.00017986
                     50,                0.06737,                0.41667,                0.83333,                 2.0254,             0.00018014,             0.00018014,             0.00018014
                     51,                0.02402,                0.41667,                0.83333,                 2.0195,             0.00018028,             0.00018028,             0.00018028
                     52,                0.03231,                0.41667,                0.83333,                 2.0195,             0.00018029,             0.00018029,             0.00018029
                     53,                0.01986,                0.41667,                0.83333,                 2.0195,             0.00018015,             0.00018015,             0.00018015
                     54,                0.02382,                0.41667,                0.83333,                 2.0176,             0.00017986,             0.00017986,             0.00017986
                     55,                0.01414,                0.41667,                0.83333,                 2.0176,             0.00017944,             0.00017944,             0.00017944
                     56,                0.01775,                0.41667,                0.83333,                 2.0176,             0.00017887,             0.00017887,             0.00017887
                     57,                0.06046,                0.41667,                0.83333,                 2.0195,             0.00017817,             0.00017817,             0.00017817
                     58,                0.01927,                0.41667,                0.83333,                 2.0195,             0.00017732,             0.00017732,             0.00017732
                     59,                0.01669,                0.41667,                0.83333,                 2.0195,             0.00017633,             0.00017633,             0.00017633
                     60,                0.01188,                0.41667,                0.83333,                 2.0176,              0.0001752,              0.0001752,              0.0001752
                     61,                0.05406,                0.41667,                0.83333,                 2.0176,             0.00017393,             0.00017393,             0.00017393
                     62,                0.06145,                0.41667,                0.83333,                 2.0176,             0.00017252,             0.00017252,             0.00017252
                     63,                 0.0106,                0.41667,                0.83333,                 2.0215,             0.00017096,             0.00017096,             0.00017096
                     64,                0.01091,                0.41667,                0.83333,                 2.0215,             0.00016927,             0.00016927,             0.00016927
                     65,                0.02588,                0.41667,                0.83333,                 2.0215,             0.00016743,             0.00016743,             0.00016743
                     66,                0.01391,                0.41667,                0.83333,                 2.0234,             0.00016545,             0.00016545,             0.00016545
                     67,                 0.0114,                0.41667,                0.83333,                 2.0234,             0.00016333,             0.00016333,             0.00016333
                     68,                0.01065,                0.41667,                0.83333,                 2.0234,             0.00016107,             0.00016107,             0.00016107
                     69,                0.01963,                0.41667,                0.83333,                 2.0254,             0.00015867,             0.00015867,             0.00015867
                     70,                0.02655,                0.41667,                0.83333,                 2.0254,             0.00015612,             0.00015612,             0.00015612
                     71,                 0.0372,                0.41667,                0.83333,                 2.0254,             0.00015344,             0.00015344,             0.00015344
                     72,                0.02061,                0.41667,                   0.75,                 2.0234,             0.00015061,             0.00015061,             0.00015061
                     73,                0.00824,                0.41667,                   0.75,                 2.0234,             0.00014764,             0.00014764,             0.00014764
                     74,                0.01064,                0.41667,                   0.75,                 2.0234,             0.00014453,             0.00014453,             0.00014453
                     75,                0.00996,                0.41667,                   0.75,                 2.0273,             0.00014128,             0.00014128,             0.00014128
                     76,                0.01915,                0.41667,                   0.75,                 2.0273,             0.00013789,             0.00013789,             0.00013789
                     77,                0.02344,                0.41667,                   0.75,                 2.0273,             0.00013436,             0.00013436,             0.00013436
                     78,                  0.018,                0.41667,                   0.75,                 2.0234,             0.00013068,             0.00013068,             0.00013068
                     79,                0.01665,                0.41667,                   0.75,                 2.0234,             0.00012687,             0.00012687,             0.00012687
                     80,                0.01151,                0.41667,                   0.75,                 2.0234,             0.00012291,             0.00012291,             0.00012291
                     81,                 0.0134,                0.41667,                   0.75,                 2.0215,             0.00011881,             0.00011881,             0.00011881
                     82,                0.01212,                0.41667,                   0.75,                 2.0215,             0.00011457,             0.00011457,             0.00011457
                     83,                 0.0134,                0.41667,                   0.75,                 2.0215,             0.00011019,             0.00011019,             0.00011019
                     84,                0.01305,                0.41667,                   0.75,                 2.0195,             0.00010566,             0.00010566,             0.00010566
                     85,                0.02359,                0.41667,                   0.75,                 2.0195,               0.000101,               0.000101,               0.000101
                     86,                0.02303,                0.41667,                   0.75,                 2.0195,             9.6194e-05,             9.6194e-05,             9.6194e-05
                     87,                0.00769,                0.41667,                   0.75,                 2.0195,             9.1246e-05,             9.1246e-05,             9.1246e-05
                     88,                0.00964,                0.41667,                   0.75,                 2.0234,             8.6158e-05,             8.6158e-05,             8.6158e-05
                     89,                0.00577,                0.41667,                   0.75,                 2.0234,             8.0928e-05,             8.0928e-05,             8.0928e-05
                     90,                0.00507,                0.41667,                   0.75,                 2.0234,             7.5556e-05,             7.5556e-05,             7.5556e-05
                     91,                 0.0044,                0.41667,                   0.75,                 2.0234,             7.0043e-05,             7.0043e-05,             7.0043e-05
                     92,                0.01491,                0.41667,                   0.75,                 2.0293,             6.4389e-05,             6.4389e-05,             6.4389e-05
                     93,                0.01321,                0.41667,                   0.75,                 2.0293,             5.8594e-05,             5.8594e-05,             5.8594e-05
                     94,                0.00861,                0.41667,                   0.75,                 2.0293,             5.2657e-05,             5.2657e-05,             5.2657e-05
                     95,                0.00962,                0.41667,                   0.75,                 2.0293,             4.6579e-05,             4.6579e-05,             4.6579e-05
                     96,                0.00907,                0.41667,                   0.75,                 2.0312,             4.0359e-05,             4.0359e-05,             4.0359e-05
                     97,                0.00583,                0.41667,                   0.75,                 2.0312,             3.3998e-05,             3.3998e-05,             3.3998e-05
                     98,                0.00931,                0.41667,                   0.75,                 2.0312,             2.7495e-05,             2.7495e-05,             2.7495e-05
                     99,                0.01208,                0.41667,                   0.75,                 2.0312,             2.0852e-05,             2.0852e-05,             2.0852e-05
                    100,                 0.0354,                0.41667,                   0.75,                 2.0273,             1.4067e-05,             1.4067e-05,             1.4067e-05
