                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93683,                 2.0825,                 1.3742,                0.35681,                0.65214,                0.39278,                 0.2807,                 1.0171,                 1.2427,                 1.4885,             0.00030171,             0.00030171,             0.00030171
                      2,                0.88258,                 1.3417,                 1.3052,                0.33238,                0.65987,                 0.4056,                0.29354,                0.93483,                 1.1967,                 1.4809,             0.00059872,             0.00059872,             0.00059872
                      3,                0.87503,                 1.2244,                 1.2754,                0.35219,                0.67652,                 0.4241,                0.31875,                0.87194,                 1.1154,                 1.4087,             0.00088973,             0.00088973,             0.00088973
                      4,                0.85565,                 1.1728,                 1.2558,                0.32508,                0.60943,                0.40058,                0.30028,                0.82804,                 1.1732,                 1.3349,               0.000882,               0.000882,               0.000882
                      5,                0.83678,                 1.1045,                 1.2438,                0.35976,                0.79301,                0.46242,                0.35496,                0.78257,                0.97505,                  1.344,               0.000873,               0.000873,               0.000873
                      6,                0.81988,                 1.0568,                 1.2344,                0.40085,                0.66641,                0.50638,                0.38972,                0.79684,                 1.0319,                 1.3133,               0.000864,               0.000864,               0.000864
                      7,                0.78601,                 1.0131,                 1.2166,                0.39342,                0.63481,                0.52801,                0.41654,                0.72785,                 1.0302,                 1.2524,             0.00085501,             0.00085501,             0.00085501
                      8,                0.78424,                0.99904,                 1.2128,                0.40186,                0.71761,                0.54706,                0.40785,                0.91174,                 1.0156,                 1.3586,             0.00084601,             0.00084601,             0.00084601
                      9,                0.76787,                0.96846,                 1.2002,                0.44095,                0.68011,                0.55316,                0.42906,                 0.7684,                0.90159,                 1.2959,             0.00083701,             0.00083701,             0.00083701
                     10,                0.76229,                0.95263,                 1.1951,                0.40546,                0.78952,                0.52759,                 0.4217,                0.70589,                0.99791,                 1.2439,             0.00082801,             0.00082801,             0.00082801
                     11,                0.75405,                 0.9362,                 1.1945,                0.46684,                0.75896,                0.58564,                0.47101,                0.74019,                0.86803,                 1.2476,             0.00081901,             0.00081901,             0.00081901
                     12,                0.73914,                0.91128,                 1.1849,                0.49863,                0.68829,                0.60941,                0.48047,                0.72656,                0.88511,                 1.2271,             0.00081001,             0.00081001,             0.00081001
                     13,                 0.7296,                0.89716,                 1.1739,                0.49128,                0.69595,                0.59239,                0.48978,                0.63234,                0.92647,                 1.1912,             0.00080101,             0.00080101,             0.00080101
                     14,                0.73386,                0.89074,                 1.1773,                0.52919,                0.75469,                0.63012,                0.52137,                0.60959,                0.82943,                 1.1893,             0.00079201,             0.00079201,             0.00079201
                     15,                0.71437,                 0.8744,                 1.1649,                0.50175,                0.74244,                0.59375,                0.49372,                  0.593,                0.80812,                 1.1626,             0.00078301,             0.00078301,             0.00078301
                     16,                0.70333,                0.86058,                 1.1614,                0.54706,                0.76946,                 0.6237,                0.52225,                0.57845,                0.78713,                 1.1473,             0.00077401,             0.00077401,             0.00077401
                     17,                0.70225,                0.84658,                 1.1637,                0.58591,                0.71038,                 0.6696,                0.56721,                0.56078,                0.79019,                 1.1162,             0.00076501,             0.00076501,             0.00076501
                     18,                0.69794,                0.83563,                 1.1566,                0.52755,                0.73296,                0.63808,                0.53366,                0.61406,                0.76109,                 1.1527,             0.00075602,             0.00075602,             0.00075602
                     19,                 0.6908,                0.82022,                 1.1534,                0.52708,                0.72598,                0.65293,                0.54727,                 0.6257,                0.81384,                 1.1931,             0.00074702,             0.00074702,             0.00074702
                     20,                0.68505,                0.81309,                 1.1465,                0.52569,                0.74621,                0.65834,                0.54857,                0.59887,                0.76265,                 1.1186,             0.00073802,             0.00073802,             0.00073802
                     21,                0.68373,                0.80268,                 1.1461,                0.54441,                0.78093,                0.66571,                 0.5721,                0.56817,                 0.7506,                 1.1294,             0.00072902,             0.00072902,             0.00072902
                     22,                 0.6799,                0.79915,                 1.1461,                0.60894,                0.67813,                0.65473,                0.56013,                0.56815,                 0.7842,                 1.1167,             0.00072002,             0.00072002,             0.00072002
                     23,                0.66125,                 0.7876,                 1.1361,                0.48155,                0.72508,                0.66105,                0.56882,                0.54272,                 0.7576,                 1.0943,             0.00071102,             0.00071102,             0.00071102
                     24,                0.66825,                0.78112,                 1.1394,                0.63941,                0.63365,                0.65699,                0.56712,                0.57868,                0.75225,                 1.1336,             0.00070202,             0.00070202,             0.00070202
                     25,                0.66057,                0.77889,                 1.1418,                0.64475,                0.69971,                 0.6906,                0.59529,                0.53669,                0.70389,                 1.0997,             0.00069302,             0.00069302,             0.00069302
                     26,                 0.6442,                0.76026,                 1.1265,                0.50561,                  0.787,                0.67146,                0.58579,                0.54937,                   0.78,                 1.0902,             0.00068402,             0.00068402,             0.00068402
                     27,                0.65532,                0.76049,                 1.1343,                0.51622,                0.68242,                0.63077,                0.54768,                0.54584,                0.77801,                 1.0853,             0.00067502,             0.00067502,             0.00067502
                     28,                0.63982,                0.74141,                 1.1265,                0.57557,                0.73816,                0.69306,                0.60087,                 0.5565,                0.71811,                 1.0826,             0.00066602,             0.00066602,             0.00066602
                     29,                0.64111,                0.73376,                 1.1323,                0.60595,                0.68658,                0.68251,                0.58396,                0.53595,                0.75703,                 1.1062,             0.00065703,             0.00065703,             0.00065703
                     30,                0.64705,                0.74039,                 1.1223,                0.67213,                0.70746,                0.71995,                0.62979,                0.52529,                0.65963,                 1.0822,             0.00064803,             0.00064803,             0.00064803
                     31,                0.63565,                0.72652,                  1.119,                0.61447,                0.70309,                0.70128,                0.60951,                0.52127,                0.75087,                 1.0792,             0.00063903,             0.00063903,             0.00063903
                     32,                 0.6273,                0.71462,                 1.1133,                0.70978,                0.64436,                0.70071,                0.61205,                0.49742,                0.70509,                 1.0619,             0.00063003,             0.00063003,             0.00063003
                     33,                0.63064,                0.71026,                 1.1176,                0.60192,                0.67848,                0.68338,                0.59996,                0.50269,                0.70374,                 1.0738,             0.00062103,             0.00062103,             0.00062103
                     34,                0.61818,                0.69932,                 1.1122,                0.66556,                0.72337,                0.71959,                0.63582,                0.50975,                0.70055,                 1.0576,             0.00061203,             0.00061203,             0.00061203
                     35,                0.62585,                0.70408,                 1.1132,                0.68425,                0.67396,                0.72927,                0.62099,                0.55192,                0.68142,                 1.1236,             0.00060303,             0.00060303,             0.00060303
                     36,                0.61619,                0.69496,                 1.1106,                0.66934,                0.73496,                0.73088,                0.64601,                0.48343,                0.66032,                 1.0404,             0.00059403,             0.00059403,             0.00059403
                     37,                0.62357,                0.68734,                 1.1123,                0.66137,                 0.7088,                0.71893,                0.63333,                 0.4895,                0.68235,                 1.0561,             0.00058503,             0.00058503,             0.00058503
                     38,                0.60866,                0.68723,                 1.1118,                 0.6694,                0.76014,                0.73751,                0.65101,                0.48709,                0.63751,                 1.0524,             0.00057603,             0.00057603,             0.00057603
                     39,                0.60427,                0.67171,                  1.101,                0.71012,                0.68161,                0.74384,                0.66003,                0.48031,                0.66666,                 1.0442,             0.00056703,             0.00056703,             0.00056703
                     40,                0.59899,                0.66742,                 1.1006,                0.67921,                0.73633,                0.74833,                0.66075,                0.49452,                0.64137,                 1.0419,             0.00055804,             0.00055804,             0.00055804
                     41,                0.60022,                 0.6545,                 1.0994,                0.68708,                0.71399,                0.75411,                0.67519,                0.47415,                 0.6417,                 1.0292,             0.00054904,             0.00054904,             0.00054904
                     42,                0.59635,                0.65905,                 1.0983,                 0.7152,                0.70285,                0.73741,                0.65591,                0.48525,                0.65562,                  1.044,             0.00054004,             0.00054004,             0.00054004
                     43,                0.59525,                0.65547,                 1.0997,                0.64924,                0.75065,                0.73895,                0.65576,                0.48525,                0.63528,                 1.0551,             0.00053104,             0.00053104,             0.00053104
                     44,                0.58599,                0.64579,                 1.0916,                0.65037,                0.74565,                0.73213,                0.64515,                0.46999,                0.62931,                 1.0271,             0.00052204,             0.00052204,             0.00052204
                     45,                0.58343,                 0.6403,                 1.0902,                0.62653,                  0.796,                0.73489,                0.65698,                0.46066,                0.63203,                 1.0196,             0.00051304,             0.00051304,             0.00051304
                     46,                0.57951,                0.63542,                 1.0922,                0.65486,                0.80213,                0.77082,                0.67933,                0.48767,                0.59854,                 1.0543,             0.00050404,             0.00050404,             0.00050404
                     47,                0.58449,                0.63326,                  1.093,                0.64473,                0.76697,                0.75351,                0.66841,                0.46994,                0.61748,                 1.0372,             0.00049504,             0.00049504,             0.00049504
                     48,                0.57374,                0.61766,                 1.0827,                0.65903,                0.79651,                0.74506,                0.65882,                 0.4927,                0.61383,                 1.0479,             0.00048604,             0.00048604,             0.00048604
                     49,                0.56719,                0.62011,                 1.0811,                0.65708,                0.76617,                0.73432,                0.65048,                0.48504,                0.63537,                 1.0503,             0.00047704,             0.00047704,             0.00047704
                     50,                0.56985,                0.61908,                 1.0813,                0.70962,                0.71399,                0.75631,                0.67333,                0.46935,                0.61495,                 1.0295,             0.00046804,             0.00046804,             0.00046804
                     51,                0.56998,                0.60254,                 1.0841,                 0.6776,                0.75604,                0.74312,                0.65952,                0.47514,                0.63688,                 1.0349,             0.00045904,             0.00045904,             0.00045904
                     52,                0.56422,                0.60684,                 1.0781,                0.65663,                0.78026,                0.75253,                0.67123,                0.46448,                0.64089,                  1.043,             0.00045005,             0.00045005,             0.00045005
                     53,                0.56247,                0.60312,                 1.0788,                0.65056,                0.78569,                 0.7545,                0.66801,                0.47305,                0.62297,                 1.0527,             0.00044105,             0.00044105,             0.00044105
                     54,                 0.5567,                0.59878,                 1.0732,                0.72831,                0.70998,                0.76812,                0.68397,                0.48847,                0.63412,                 1.0542,             0.00043205,             0.00043205,             0.00043205
