                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2371,                0.16667,                0.41667,                 2.3066,                      0,                      0,                      0
                      2,                 2.2263,                0.16667,                0.41667,                 2.3047,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                 2.1812,                0.16667,                0.41667,                 2.3047,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                 2.2005,                0.16667,                0.41667,                 2.3027,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                 2.2357,                0.16667,                0.58333,                 2.3008,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                 2.0914,                0.16667,                    0.5,                 2.2988,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                 2.1116,                0.16667,                0.58333,                 2.2969,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                 2.0124,                0.16667,                0.58333,                 2.2969,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                 2.0299,                0.16667,                0.58333,                 2.2949,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                 1.9688,                0.16667,                0.58333,                  2.293,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                 1.9958,                0.16667,                0.66667,                  2.293,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                 2.0067,                   0.25,                0.66667,                  2.291,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                 1.9429,                   0.25,                0.66667,                 2.2891,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                 1.7791,                   0.25,                0.66667,                 2.2891,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                  1.851,                   0.25,                0.66667,                 2.2871,             8.6106e-05,             8.6106e-05,             8.6106e-05
                     16,                 1.6669,                   0.25,                0.66667,                 2.2852,             9.1196e-05,             9.1196e-05,             9.1196e-05
                     17,                 1.7084,                   0.25,                0.66667,                 2.2852,             9.6144e-05,             9.6144e-05,             9.6144e-05
                     18,                 1.6689,                   0.25,                0.66667,                 2.2852,             0.00010095,             0.00010095,             0.00010095
                     19,                 1.6359,                   0.25,                0.66667,                 2.2832,             0.00010562,             0.00010562,             0.00010562
                     20,                 1.5992,                   0.25,                0.66667,                 2.2832,             0.00011014,             0.00011014,             0.00011014
                     21,                 1.5882,                   0.25,                0.58333,                 2.2812,             0.00011453,             0.00011453,             0.00011453
                     22,                 1.5827,                   0.25,                0.58333,                 2.2812,             0.00011877,             0.00011877,             0.00011877
                     23,                 1.3754,                   0.25,                0.58333,                 2.2793,             0.00012287,             0.00012287,             0.00012287
                     24,                 1.4272,                   0.25,                0.58333,                 2.2793,             0.00012683,             0.00012683,             0.00012683
                     25,                 1.3637,                   0.25,                0.58333,                 2.2793,             0.00013064,             0.00013064,             0.00013064
                     26,                 1.3897,                   0.25,                0.58333,                 2.2793,             0.00013432,             0.00013432,             0.00013432
                     27,                 1.2642,                   0.25,                0.58333,                 2.2773,             0.00013786,             0.00013786,             0.00013786
                     28,                 1.2708,                   0.25,                0.58333,                 2.2773,             0.00014125,             0.00014125,             0.00014125
                     29,                 1.3098,                   0.25,                0.58333,                 2.2754,              0.0001445,              0.0001445,              0.0001445
                     30,                 1.1849,                   0.25,                0.58333,                 2.2754,             0.00014761,             0.00014761,             0.00014761
                     31,                 1.1755,                   0.25,                0.58333,                 2.2754,             0.00015058,             0.00015058,             0.00015058
                     32,                 1.0693,                   0.25,                0.58333,                 2.2754,             0.00015341,             0.00015341,             0.00015341
                     33,                 1.0861,                0.33333,                0.58333,                 2.2734,              0.0001561,              0.0001561,              0.0001561
                     34,                 1.0939,                0.33333,                0.58333,                 2.2734,             0.00015864,             0.00015864,             0.00015864
                     35,                 1.0004,                0.33333,                0.58333,                 2.2715,             0.00016105,             0.00016105,             0.00016105
                     36,                0.99449,                0.33333,                0.58333,                 2.2715,             0.00016331,             0.00016331,             0.00016331
                     37,                 1.1068,                   0.25,                0.58333,                 2.2695,             0.00016543,             0.00016543,             0.00016543
                     38,                0.91658,                   0.25,                0.58333,                 2.2695,             0.00016741,             0.00016741,             0.00016741
                     39,                0.96046,                   0.25,                0.58333,                 2.2656,             0.00016925,             0.00016925,             0.00016925
                     40,                0.76356,                   0.25,                0.58333,                 2.2656,             0.00017095,             0.00017095,             0.00017095
                     41,                  0.885,                0.33333,                0.58333,                 2.2637,              0.0001725,              0.0001725,              0.0001725
                     42,                0.69507,                0.33333,                0.58333,                 2.2637,             0.00017392,             0.00017392,             0.00017392
                     43,                 0.7378,                0.33333,                0.58333,                 2.2617,             0.00017519,             0.00017519,             0.00017519
                     44,                0.69521,                0.33333,                0.58333,                 2.2617,             0.00017632,             0.00017632,             0.00017632
                     45,                0.64321,                0.33333,                0.58333,                 2.2598,             0.00017731,             0.00017731,             0.00017731
