                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5105,                0.18644,                0.85311,                 1.7978,               0.070508,              0.0032768,              0.0032768
                      2,                 1.4413,                0.26554,                0.94915,                  1.727,               0.040495,              0.0065971,              0.0065971
                      3,                 1.4818,                0.22599,                0.87571,                 1.7905,               0.010469,              0.0099041,              0.0099041
                      4,                  1.505,                0.32203,                0.92655,                 1.7207,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4457,                0.39548,                0.94915,                 1.6494,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.4157,                0.33898,                 0.9435,                  1.687,               0.009901,               0.009901,               0.009901
                      7,                 1.3585,                0.38983,                0.92655,                 1.6655,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.3028,                0.41808,                 0.9322,                 1.6943,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.2663,                0.35028,                0.96045,                 1.6372,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.2542,                0.34463,                0.91525,                 1.6831,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.2155,                0.39548,                 0.9548,                 1.6397,               0.009802,               0.009802,               0.009802
                     12,                 1.2058,                0.38983,                0.93785,                 1.6626,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.1757,                0.28814,                 0.9096,                 1.7432,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.1323,                0.34463,                0.94915,                 1.6753,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0946,                0.33898,                 0.9209,                 1.6645,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0875,                0.43503,                 0.9322,                 1.5981,               0.009703,               0.009703,               0.009703
                     17,                 1.0666,                0.39548,                 0.9661,                 1.6543,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0162,                0.40113,                 0.9435,                 1.6768,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0032,                0.44068,                0.94915,                 1.6206,              0.0096436,              0.0096436,              0.0096436
                     20,                0.99457,                0.41808,                 0.9435,                 1.6489,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.0124,                0.47458,                 0.9435,                 1.5981,               0.009604,               0.009604,               0.009604
                     22,                0.90814,                0.46893,                0.96045,                 1.5767,              0.0095842,              0.0095842,              0.0095842
                     23,                0.92795,                0.49153,                0.93785,                 1.5591,              0.0095644,              0.0095644,              0.0095644
                     24,                0.89035,                0.40678,                0.96045,                  1.603,              0.0095446,              0.0095446,              0.0095446
                     25,                0.88901,                0.46328,                0.96045,                 1.5762,              0.0095248,              0.0095248,              0.0095248
                     26,                0.87444,                0.41808,                 0.9661,                 1.6099,               0.009505,               0.009505,               0.009505
                     27,                0.82142,                0.40678,                 0.9774,                 1.6196,              0.0094852,              0.0094852,              0.0094852
                     28,                0.84942,                0.41808,                0.94915,                 1.5938,              0.0094654,              0.0094654,              0.0094654
                     29,                0.80569,                0.50847,                 0.9548,                 1.5713,              0.0094456,              0.0094456,              0.0094456
                     30,                0.77289,                0.48588,                 0.9661,                 1.5786,              0.0094258,              0.0094258,              0.0094258
                     31,                0.73281,                0.47458,                0.96045,                 1.5776,               0.009406,               0.009406,               0.009406
                     32,                0.72179,                0.47458,                0.96045,                 1.5869,              0.0093862,              0.0093862,              0.0093862
                     33,                0.75225,                0.50282,                0.96045,                 1.5342,              0.0093664,              0.0093664,              0.0093664
                     34,                0.74865,                0.45198,                0.93785,                 1.5952,              0.0093466,              0.0093466,              0.0093466
                     35,                0.66149,                0.50847,                0.94915,                  1.523,              0.0093268,              0.0093268,              0.0093268
                     36,                0.66238,                0.50282,                0.98305,                  1.584,               0.009307,               0.009307,               0.009307
                     37,                0.65974,                0.49718,                 0.9774,                 1.5376,              0.0092872,              0.0092872,              0.0092872
                     38,                0.65893,                0.49153,                 0.9435,                 1.5938,              0.0092674,              0.0092674,              0.0092674
                     39,                0.65073,                0.49718,                 0.9774,                 1.5386,              0.0092476,              0.0092476,              0.0092476
                     40,                0.65075,                0.49153,                 0.9661,                 1.5703,              0.0092278,              0.0092278,              0.0092278
                     41,                0.62002,                0.49718,                 0.9661,                 1.5552,               0.009208,               0.009208,               0.009208
                     42,                0.58573,                0.48023,                 0.9548,                 1.5815,              0.0091882,              0.0091882,              0.0091882
                     43,                0.58155,                0.46893,                0.94915,                 1.5762,              0.0091684,              0.0091684,              0.0091684
                     44,                0.56185,                0.48023,                 0.9548,                 1.5571,              0.0091486,              0.0091486,              0.0091486
                     45,                0.55035,                0.46893,                0.96045,                 1.5884,              0.0091288,              0.0091288,              0.0091288
                     46,                 0.5164,                0.44068,                0.96045,                 1.5933,               0.009109,               0.009109,               0.009109
