                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5929,                0.08333,                    0.5,                 2.3086,                      0,                      0,                      0
                      2,                 1.6719,                0.08333,                0.41667,                 2.3047,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                 1.5955,                0.16667,                0.41667,                 2.3047,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                 1.6975,                0.08333,                0.41667,                 2.3047,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                 1.6597,                0.16667,                0.41667,                 2.3047,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                 1.6772,                0.08333,                0.41667,                 2.3047,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                 1.4995,                0.16667,                0.41667,                 2.3047,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                 1.4998,                0.16667,                0.33333,                 2.3047,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                 1.3772,                0.16667,                0.33333,                 2.3027,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                 1.5572,                0.16667,                0.33333,                 2.3027,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                 1.4771,                0.16667,                0.33333,                 2.3008,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                 1.2846,                0.16667,                0.41667,                 2.3008,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                 1.3645,                0.16667,                0.41667,                 2.2988,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                 1.3087,                0.16667,                0.41667,                 2.2969,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                 1.2228,                0.16667,                0.66667,                 2.2969,             8.6106e-05,             8.6106e-05,             8.6106e-05
                     16,                 1.1079,                0.16667,                0.66667,                 2.2949,             9.1196e-05,             9.1196e-05,             9.1196e-05
                     17,                 1.1907,                0.16667,                0.66667,                  2.291,             9.6144e-05,             9.6144e-05,             9.6144e-05
                     18,                 1.0062,                0.16667,                0.66667,                  2.291,             0.00010095,             0.00010095,             0.00010095
                     19,                  1.005,                0.16667,                0.66667,                 2.2832,             0.00010562,             0.00010562,             0.00010562
                     20,                0.94834,                0.16667,                0.66667,                 2.2832,             0.00011014,             0.00011014,             0.00011014
                     21,                  1.007,                0.16667,                0.66667,                 2.2754,             0.00011453,             0.00011453,             0.00011453
                     22,                0.91948,                0.16667,                0.66667,                 2.2754,             0.00011877,             0.00011877,             0.00011877
                     23,                0.90535,                    0.5,                0.66667,                 2.2656,             0.00012287,             0.00012287,             0.00012287
                     24,                 1.0796,                    0.5,                0.66667,                 2.2656,             0.00012683,             0.00012683,             0.00012683
                     25,                0.88964,                    0.5,                0.66667,                 2.2519,             0.00013064,             0.00013064,             0.00013064
                     26,                0.91131,                    0.5,                0.66667,                 2.2519,             0.00013432,             0.00013432,             0.00013432
