                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5676,                   0.25,                0.58333,                 2.3613,                      0,                      0,                      0
                      2,                 1.5553,                      0,                0.58333,                 2.3965,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                 1.6617,                      0,                0.58333,                 2.3789,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                 1.6458,                      0,                0.41667,                 2.3398,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                 1.7055,                0.08333,                0.58333,                 2.2969,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                 1.5165,                0.16667,                    0.5,                 2.2637,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                 1.7054,                0.16667,                0.66667,                 2.2461,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                  1.501,                0.16667,                0.66667,                 2.2383,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                 1.3488,                0.16667,                0.66667,                 2.2402,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                 1.5507,                0.16667,                0.66667,                 2.2441,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                 1.4633,                0.16667,                0.66667,                 2.2539,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                 1.4678,                0.16667,                0.58333,                 2.2598,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                 1.3925,                0.16667,                0.58333,                 2.2598,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                 1.3797,                0.16667,                0.58333,                 2.2598,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                 1.1614,                0.16667,                0.83333,                 2.2617,             8.6106e-05,             8.6106e-05,             8.6106e-05
                     16,                 1.3641,                0.16667,                0.83333,                 2.2637,             9.1196e-05,             9.1196e-05,             9.1196e-05
                     17,                 1.3511,                0.16667,                0.83333,                 2.2598,             9.6144e-05,             9.6144e-05,             9.6144e-05
                     18,                 1.3061,                0.16667,                0.83333,                 2.2598,             0.00010095,             0.00010095,             0.00010095
                     19,                 1.1696,                0.16667,                   0.75,                 2.2637,             0.00010562,             0.00010562,             0.00010562
                     20,                 1.1715,                0.16667,                   0.75,                 2.2637,             0.00011014,             0.00011014,             0.00011014
                     21,                 1.1432,                0.08333,                   0.75,                 2.2656,             0.00011453,             0.00011453,             0.00011453
                     22,                 1.0776,                0.08333,                   0.75,                 2.2656,             0.00011877,             0.00011877,             0.00011877
                     23,                  1.461,                0.16667,                   0.75,                 2.2656,             0.00012287,             0.00012287,             0.00012287
                     24,                 1.4199,                0.16667,                   0.75,                 2.2656,             0.00012683,             0.00012683,             0.00012683
                     25,                 1.0888,                0.16667,                   0.75,                 2.2656,             0.00013064,             0.00013064,             0.00013064
                     26,                 1.1076,                0.16667,                   0.75,                 2.2656,             0.00013432,             0.00013432,             0.00013432
                     27,                0.98637,                0.16667,                   0.75,                 2.2715,             0.00013786,             0.00013786,             0.00013786
                     28,                0.99066,                0.16667,                   0.75,                 2.2715,             0.00014125,             0.00014125,             0.00014125
                     29,                 1.1861,                0.16667,                0.83333,                 2.2676,              0.0001445,              0.0001445,              0.0001445
                     30,                0.96768,                0.16667,                0.83333,                 2.2676,             0.00014761,             0.00014761,             0.00014761
