                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1822,                 4.2695,                 4.1885,                0.00219,                0.39556,                0.00464,                0.00103,                 3.2043,                 3.5338,                 4.0132,              0.0033048,              0.0033048,              0.0033048
                      2,                 2.7703,                 3.8207,                 3.6454,                0.05167,                0.14897,                0.05048,                0.01326,                 2.4053,                 4.3103,                 3.1913,               0.006625,               0.006625,               0.006625
                      3,                 2.1486,                 3.2914,                 2.9272,                0.05311,                 0.2807,                0.06008,                0.02028,                 2.1725,                 6.4502,                 2.9586,               0.009932,               0.009932,               0.009932
                      4,                  1.675,                 2.5255,                 2.3076,                  0.157,                 0.3445,                 0.2038,                0.09505,                 1.6096,                 2.7443,                 2.2994,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4956,                 2.0431,                 2.0701,                0.16308,                0.53579,                0.27064,                0.16695,                 1.3425,                  1.913,                 1.9296,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.4163,                 1.8213,                 1.9714,                0.21791,                0.56983,                0.29058,                0.17123,                 1.4409,                 1.6045,                 1.9565,               0.009901,               0.009901,               0.009901
                      7,                 1.3466,                 1.7088,                 1.8874,                0.21811,                0.71266,                0.30189,                0.14225,                 1.8039,                 1.5429,                 2.2015,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.3147,                 1.6209,                 1.8366,                0.22349,                0.75763,                0.30095,                0.19599,                 1.2085,                 1.4465,                 1.7331,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.2884,                 1.5628,                 1.8043,                0.24021,                0.77483,                0.32347,                0.21127,                 1.1299,                 1.3148,                 1.6586,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.2534,                 1.5253,                 1.7705,                0.28663,                0.67229,                0.37604,                0.23957,                 1.2369,                  1.325,                 1.7065,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.2182,                 1.4738,                 1.7365,                0.28196,                0.68138,                0.35776,                0.20703,                 1.4947,                 1.3309,                 1.8712,               0.009802,               0.009802,               0.009802
                     12,                 1.1957,                 1.4458,                 1.7154,                0.31053,                0.67018,                0.35674,                0.23865,                 1.1698,                 1.2422,                 1.6582,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.1721,                 1.4068,                 1.7024,                0.24925,                0.59682,                 0.3533,                0.23952,                 1.0806,                 1.2589,                 1.5917,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.1491,                 1.3778,                 1.6734,                0.26143,                0.74269,                0.36472,                0.25292,                 1.0611,                 1.2473,                 1.5622,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.1213,                 1.3515,                 1.6561,                0.25141,                0.68133,                0.34016,                0.23471,                 1.0587,                 1.2565,                  1.608,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.1156,                 1.3415,                 1.6428,                0.27904,                0.78134,                0.36462,                0.24628,                 1.1402,                 1.1902,                 1.5898,               0.009703,               0.009703,               0.009703
                     17,                 1.1058,                 1.3196,                  1.634,                0.29335,                0.74262,                0.39378,                0.28257,                0.98796,                 1.0475,                 1.4912,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0906,                 1.3042,                 1.6227,                 0.3455,                0.69171,                0.38964,                  0.281,                0.96703,                 1.0755,                 1.4581,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0731,                 1.2819,                 1.5938,                 0.2991,                0.77221,                0.38018,                0.28029,                0.92621,                  1.123,                 1.4339,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.0522,                 1.2693,                 1.5784,                0.31738,                0.77041,                0.38004,                0.28944,                0.85962,                 1.0235,                 1.3814,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.0446,                 1.2569,                 1.5713,                0.32749,                0.77171,                0.40525,                0.30539,                0.92313,                 1.0695,                 1.4058,               0.009604,               0.009604,               0.009604
                     22,                 1.0239,                 1.2515,                 1.5572,                  0.312,                0.72441,                0.39824,                0.29144,                0.93799,                 1.0658,                 1.4104,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.0284,                 1.2382,                 1.5546,                0.37409,                0.65234,                 0.4264,                0.32075,                0.87721,                0.98434,                 1.4085,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.0087,                 1.2201,                 1.5382,                0.31315,                0.65792,                0.39276,                0.30025,                0.85131,                 1.0521,                 1.3478,              0.0095446,              0.0095446,              0.0095446
                     25,                0.99755,                  1.213,                 1.5318,                0.35593,                0.77095,                0.43165,                0.33394,                0.88032,                0.99365,                 1.3529,              0.0095248,              0.0095248,              0.0095248
                     26,                0.99359,                 1.2024,                 1.5273,                0.34528,                0.76952,                 0.4239,                0.32963,                0.82159,                0.95447,                 1.3146,               0.009505,               0.009505,               0.009505
                     27,                 0.9801,                 1.1833,                 1.5083,                 0.3356,                0.81503,                0.41997,                0.32545,                0.82558,                0.96109,                 1.3061,              0.0094852,              0.0094852,              0.0094852
                     28,                0.95924,                 1.1729,                 1.4975,                0.31111,                0.76792,                0.41379,                0.32468,                0.78831,                 0.9948,                 1.2918,              0.0094654,              0.0094654,              0.0094654
                     29,                  0.969,                 1.1774,                 1.5029,                0.34475,                0.72951,                0.42677,                0.32851,                 0.8398,                0.99059,                 1.3059,              0.0094456,              0.0094456,              0.0094456
                     30,                0.95852,                 1.1533,                 1.4918,                0.35125,                 0.7635,                0.43177,                0.33459,                0.81685,                0.95592,                 1.3026,              0.0094258,              0.0094258,              0.0094258
                     31,                0.94853,                  1.153,                 1.4797,                0.37718,                0.66755,                0.44467,                0.34503,                 0.7692,                0.95049,                 1.2731,               0.009406,               0.009406,               0.009406
                     32,                0.93901,                 1.1503,                 1.4712,                0.33693,                0.81401,                 0.4368,                0.34611,                0.77687,                0.92266,                 1.2783,              0.0093862,              0.0093862,              0.0093862
                     33,                  0.938,                 1.1369,                 1.4673,                0.34933,                0.78039,                0.41953,                0.32232,                0.82739,                 0.9529,                 1.3338,              0.0093664,              0.0093664,              0.0093664
                     34,                0.92268,                 1.1319,                 1.4584,                0.34968,                0.77868,                0.42987,                0.34078,                0.74655,                0.92736,                 1.2359,              0.0093466,              0.0093466,              0.0093466
                     35,                0.93216,                 1.1322,                 1.4661,                0.35405,                0.75311,                0.44929,                0.36188,                0.71171,                0.91222,                 1.2149,              0.0093268,              0.0093268,              0.0093268
                     36,                0.92205,                 1.1269,                 1.4601,                 0.3611,                0.76666,                0.44352,                0.34917,                0.75245,                0.91692,                 1.2613,               0.009307,               0.009307,               0.009307
                     37,                0.91609,                 1.1213,                 1.4508,                0.33764,                0.83626,                0.43581,                0.35616,                0.69318,                0.91965,                 1.2096,              0.0092872,              0.0092872,              0.0092872
                     38,                0.92186,                 1.1305,                 1.4527,                0.35176,                0.76567,                0.46054,                0.36001,                0.77972,                0.90959,                 1.2724,              0.0092674,              0.0092674,              0.0092674
                     39,                0.90891,                 1.1173,                  1.449,                0.38583,                0.72906,                0.47358,                0.38427,                0.71164,                0.90815,                  1.215,              0.0092476,              0.0092476,              0.0092476
                     40,                0.89917,                 1.1001,                 1.4332,                0.40285,                0.70712,                0.46507,                0.37984,                0.69671,                0.89869,                 1.2014,              0.0092278,              0.0092278,              0.0092278
                     41,                0.88946,                 1.0913,                 1.4262,                0.35804,                0.73942,                0.46861,                 0.3723,                0.75334,                0.91622,                 1.2493,               0.009208,               0.009208,               0.009208
                     42,                0.89458,                 1.0866,                 1.4308,                 0.3434,                0.77109,                0.45709,                0.36719,                0.74828,                0.91772,                 1.2405,              0.0091882,              0.0091882,              0.0091882
                     43,                0.90112,                 1.0918,                 1.4363,                0.35705,                0.75484,                0.47287,                0.38522,                0.67255,                0.91293,                 1.1851,              0.0091684,              0.0091684,              0.0091684
                     44,                0.88508,                 1.0833,                 1.4207,                0.36099,                0.78933,                0.46056,                0.37748,                0.70597,                 0.9081,                 1.2166,              0.0091486,              0.0091486,              0.0091486
