                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5708,                0.39548,                 0.9435,                  1.666,               0.067559,             0.00032768,             0.00032768
                      2,                 1.1628,                0.42373,                0.97175,                 1.5972,               0.034558,             0.00065971,             0.00065971
                      3,                0.93237,                0.52542,                 0.9887,                 1.5371,              0.0015554,             0.00099041,             0.00099041
                      4,                0.76804,                0.55367,                0.98305,                 1.5112,             0.00099406,             0.00099406,             0.00099406
                      5,                0.60836,                0.51412,                 0.9661,                 1.5171,             0.00099208,             0.00099208,             0.00099208
                      6,                0.49709,                0.52542,                 0.9661,                 1.5308,              0.0009901,              0.0009901,              0.0009901
                      7,                 0.4689,                0.53672,                 0.9774,                 1.5112,             0.00098812,             0.00098812,             0.00098812
                      8,                0.40892,                0.54237,                 0.9774,                 1.5254,             0.00098614,             0.00098614,             0.00098614
                      9,                0.34316,                0.59322,                 0.9548,                 1.4648,             0.00098416,             0.00098416,             0.00098416
                     10,                0.32146,                0.54237,                 0.9887,                 1.5147,             0.00098218,             0.00098218,             0.00098218
                     11,                0.31638,                0.50282,                 0.9774,                 1.5151,              0.0009802,              0.0009802,              0.0009802
                     12,                0.28262,                0.51977,                 0.9774,                 1.4951,             0.00097822,             0.00097822,             0.00097822
                     13,                0.24287,                0.53672,                0.98305,                 1.5039,             0.00097624,             0.00097624,             0.00097624
                     14,                0.22568,                0.59322,                0.97175,                 1.4619,             0.00097426,             0.00097426,             0.00097426
                     15,                0.19969,                0.58192,                0.98305,                  1.458,             0.00097228,             0.00097228,             0.00097228
                     16,                0.22069,                0.49153,                 0.9774,                 1.5395,              0.0009703,              0.0009703,              0.0009703
                     17,                0.23959,                0.54237,                 0.9661,                 1.4976,             0.00096832,             0.00096832,             0.00096832
                     18,                0.23467,                0.52542,                0.99435,                 1.5386,             0.00096634,             0.00096634,             0.00096634
                     19,                0.21911,                0.53107,                0.97175,                 1.4888,             0.00096436,             0.00096436,             0.00096436
                     20,                0.22066,                0.53107,                0.98305,                 1.5273,             0.00096238,             0.00096238,             0.00096238
                     21,                0.18735,                0.58192,                0.98305,                 1.4902,              0.0009604,              0.0009604,              0.0009604
                     22,                0.18724,                0.55932,                 0.9661,                 1.4736,             0.00095842,             0.00095842,             0.00095842
                     23,                0.20779,                0.53672,                0.98305,                 1.4981,             0.00095644,             0.00095644,             0.00095644
                     24,                0.17172,                0.54237,                 0.9435,                 1.4707,             0.00095446,             0.00095446,             0.00095446
                     25,                0.16537,                0.51977,                0.98305,                 1.5381,             0.00095248,             0.00095248,             0.00095248
                     26,                0.17251,                0.54802,                 0.9774,                 1.5093,              0.0009505,              0.0009505,              0.0009505
                     27,                0.16764,                0.51412,                0.96045,                 1.5181,             0.00094852,             0.00094852,             0.00094852
                     28,                0.15675,                0.47458,                0.97175,                 1.5449,             0.00094654,             0.00094654,             0.00094654
                     29,                 0.1721,                0.53107,                 0.9661,                  1.523,             0.00094456,             0.00094456,             0.00094456
                     30,                0.16204,                0.51412,                 0.9774,                 1.5415,             0.00094258,             0.00094258,             0.00094258
                     31,                0.13747,                0.50282,                0.98305,                 1.5664,              0.0009406,              0.0009406,              0.0009406
