                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2977,                   0.25,                0.58333,                 2.2871,                      0,                      0,                      0
                      2,                 2.2535,                   0.25,                0.58333,                 2.2891,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                 2.2308,                   0.25,                0.58333,                  2.291,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                 2.4749,                   0.25,                0.58333,                  2.293,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                 2.3287,                   0.25,                0.58333,                 2.2969,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                 2.2136,                   0.25,                0.58333,                 2.2969,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                 2.4598,                   0.25,                0.58333,                 2.2988,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                 2.3677,                   0.25,                0.58333,                 2.3008,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                  2.285,                   0.25,                0.58333,                 2.3008,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                 2.2723,                   0.25,                0.58333,                 2.3008,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                 2.2873,                0.08333,                0.58333,                 2.3008,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                 2.2803,                0.08333,                0.58333,                 2.3008,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                 2.6504,                0.08333,                0.58333,                 2.3027,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                 2.6872,                0.08333,                0.58333,                 2.3027,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                 2.4818,                0.08333,                0.58333,                 2.3027,             8.6106e-05,             8.6106e-05,             8.6106e-05
                     16,                 2.1518,                0.08333,                0.58333,                 2.3027,             9.1196e-05,             9.1196e-05,             9.1196e-05
                     17,                  2.402,                0.08333,                0.58333,                 2.3027,             9.6144e-05,             9.6144e-05,             9.6144e-05
                     18,                 2.3886,                0.08333,                0.58333,                 2.3027,             0.00010095,             0.00010095,             0.00010095
                     19,                 2.6694,                   0.25,                0.58333,                 2.3008,             0.00010562,             0.00010562,             0.00010562
                     20,                 2.1218,                   0.25,                0.58333,                 2.3008,             0.00011014,             0.00011014,             0.00011014
                     21,                 2.0644,                0.08333,                0.58333,                 2.3027,             0.00011453,             0.00011453,             0.00011453
                     22,                   2.26,                0.08333,                0.58333,                 2.3027,             0.00011877,             0.00011877,             0.00011877
                     23,                 2.3639,                0.08333,                0.58333,                 2.3027,             0.00012287,             0.00012287,             0.00012287
                     24,                 2.4453,                0.08333,                0.58333,                 2.3027,             0.00012683,             0.00012683,             0.00012683
                     25,                 2.1643,                0.08333,                0.58333,                 2.3027,             0.00013064,             0.00013064,             0.00013064
                     26,                 2.6124,                0.08333,                0.58333,                 2.3027,             0.00013432,             0.00013432,             0.00013432
                     27,                 2.0795,                0.08333,                0.58333,                 2.3027,             0.00013786,             0.00013786,             0.00013786
                     28,                 1.9481,                0.08333,                0.58333,                 2.3027,             0.00014125,             0.00014125,             0.00014125
                     29,                 2.0701,                0.08333,                0.58333,                 2.3027,              0.0001445,              0.0001445,              0.0001445
                     30,                 2.2174,                0.08333,                0.58333,                 2.3027,             0.00014761,             0.00014761,             0.00014761
                     31,                 2.2737,                0.08333,                0.58333,                 2.3027,             0.00015058,             0.00015058,             0.00015058
                     32,                 1.8736,                0.08333,                0.58333,                 2.3027,             0.00015341,             0.00015341,             0.00015341
                     33,                  1.851,                0.08333,                0.66667,                 2.3027,              0.0001561,              0.0001561,              0.0001561
                     34,                 2.0317,                0.08333,                0.66667,                 2.3027,             0.00015864,             0.00015864,             0.00015864
                     35,                  1.974,                0.08333,                0.41667,                 2.3027,             0.00016105,             0.00016105,             0.00016105
                     36,                 2.0686,                0.08333,                0.41667,                 2.3027,             0.00016331,             0.00016331,             0.00016331
                     37,                 2.0719,                0.08333,                0.66667,                 2.3027,             0.00016543,             0.00016543,             0.00016543
                     38,                 1.9586,                0.08333,                0.66667,                 2.3027,             0.00016741,             0.00016741,             0.00016741
                     39,                 2.3922,                0.08333,                0.58333,                 2.3027,             0.00016925,             0.00016925,             0.00016925
                     40,                 1.8964,                0.08333,                0.58333,                 2.3027,             0.00017095,             0.00017095,             0.00017095
                     41,                 2.5791,                0.08333,                    0.5,                 2.3027,              0.0001725,              0.0001725,              0.0001725
                     42,                 1.8238,                0.08333,                    0.5,                 2.3027,             0.00017392,             0.00017392,             0.00017392
                     43,                 2.0388,                0.08333,                    0.5,                 2.3027,             0.00017519,             0.00017519,             0.00017519
                     44,                  1.835,                0.08333,                    0.5,                 2.3027,             0.00017632,             0.00017632,             0.00017632
                     45,                 1.7787,                0.08333,                    0.5,                 2.3027,             0.00017731,             0.00017731,             0.00017731
                     46,                 2.0317,                0.08333,                    0.5,                 2.3027,             0.00017816,             0.00017816,             0.00017816
                     47,                 2.3073,                0.08333,                    0.5,                 2.3047,             0.00017887,             0.00017887,             0.00017887
