                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0099,                 3.9776,                 3.8929,                0.73237,                0.08805,                0.06439,                0.01613,                   2.69,                 4.1948,                  3.317,             0.00030235,             0.00030235,             0.00030235
                      2,                 2.1006,                 3.1365,                 2.7648,                 0.2519,                0.18218,                0.08837,                0.03088,                 1.9993,                 3.7462,                 2.6006,             0.00059936,             0.00059936,             0.00059936
                      3,                 1.6678,                 2.5528,                 2.2655,                0.15579,                0.31744,                0.22511,                0.10378,                  1.799,                  2.209,                 2.3396,             0.00089037,             0.00089037,             0.00089037
                      4,                 1.5104,                 2.1589,                  2.074,                0.16616,                0.40726,                0.24654,                0.12101,                 1.6341,                 1.8733,                 2.2065,               0.000882,               0.000882,               0.000882
                      5,                 1.4087,                 1.9713,                  1.956,                0.22353,                0.40787,                0.28686,                0.16424,                 1.4177,                 1.7219,                 2.0096,               0.000873,               0.000873,               0.000873
                      6,                  1.328,                 1.8133,                 1.8797,                0.28335,                0.51846,                0.35484,                0.20819,                   1.34,                 1.4814,                 1.9056,               0.000864,               0.000864,               0.000864
                      7,                 1.2626,                 1.6904,                 1.8115,                0.26059,                 0.5215,                0.33023,                0.19913,                 1.3426,                 1.4951,                 1.9412,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.2194,                 1.6263,                  1.767,                0.23055,                0.55089,                0.31553,                0.19626,                 1.2851,                 1.3982,                 1.8452,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.1799,                 1.5643,                  1.728,                0.25611,                0.56232,                0.33248,                0.19991,                 1.3838,                 1.4205,                  1.906,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.1499,                 1.5219,                 1.6998,                0.29531,                0.61395,                0.36113,                0.23197,                 1.2295,                 1.2724,                 1.7457,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.1287,                 1.4824,                 1.6774,                0.30184,                0.60034,                0.37904,                0.25118,                 1.2258,                 1.2278,                 1.7283,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.0991,                 1.4382,                 1.6491,                 0.2908,                0.65386,                0.38098,                0.26044,                 1.1759,                 1.1755,                 1.6922,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.0853,                 1.4042,                  1.632,                0.32217,                 0.6787,                0.38028,                0.25571,                 1.1758,                 1.1534,                 1.6662,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.0558,                 1.3752,                 1.6124,                 0.3029,                0.65129,                0.38099,                0.25895,                 1.1498,                 1.1608,                 1.6519,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.0325,                 1.3485,                 1.5905,                0.31146,                0.67824,                0.38277,                0.26844,                 1.0542,                 1.0764,                 1.5699,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.0447,                 1.3318,                 1.5962,                0.31138,                0.70607,                0.37907,                0.26118,                  1.063,                 1.1184,                 1.6153,             0.00077401,             0.00077401,             0.00077401
                     17,                  1.031,                 1.3223,                 1.5761,                0.31042,                0.69814,                0.37988,                0.26765,                 1.0943,                 1.0888,                 1.5829,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.0088,                 1.2995,                 1.5583,                0.29817,                0.63864,                0.40394,                0.27868,                 1.0302,                 1.0828,                 1.5712,             0.00075602,             0.00075602,             0.00075602
                     19,                 0.9908,                 1.2754,                 1.5507,                0.32767,                0.72498,                0.41019,                0.29493,                  1.048,                 1.0731,                 1.5575,             0.00074702,             0.00074702,             0.00074702
                     20,                0.98284,                   1.26,                 1.5382,                0.32177,                0.66103,                0.39518,                0.28574,                 1.0031,                 1.0426,                 1.5085,             0.00073802,             0.00073802,             0.00073802
                     21,                0.97286,                 1.2391,                  1.529,                0.32159,                0.66771,                0.41152,                0.29085,                 1.0345,                 1.0317,                 1.5784,             0.00072902,             0.00072902,             0.00072902
                     22,                0.96475,                 1.2334,                 1.5205,                0.31862,                 0.6646,                0.39887,                0.28671,                 0.9592,                 1.0229,                 1.5051,             0.00072002,             0.00072002,             0.00072002
                     23,                0.94503,                 1.2122,                 1.5066,                0.30836,                0.70999,                0.40807,                0.30459,                0.94194,                 1.0055,                  1.461,             0.00071102,             0.00071102,             0.00071102
                     24,                0.92986,                 1.1965,                 1.4964,                0.32882,                0.71751,                0.40314,                 0.2917,                0.95316,                   1.01,                  1.475,             0.00070202,             0.00070202,             0.00070202
                     25,                0.93644,                 1.1965,                 1.5012,                0.33235,                0.69191,                0.39582,                0.29516,                 0.9085,                0.98544,                 1.4546,             0.00069302,             0.00069302,             0.00069302
                     26,                0.92347,                 1.1775,                 1.4877,                0.32552,                0.73713,                0.41675,                0.31747,                0.92129,                 1.0034,                 1.4382,             0.00068402,             0.00068402,             0.00068402
                     27,                0.91692,                 1.1739,                 1.4818,                0.32326,                0.78652,                0.39497,                0.30308,                0.88985,                0.97718,                 1.4012,             0.00067502,             0.00067502,             0.00067502
