                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43082,                0.58333,                   0.75,                 2.0977,                      0,                      0,                      0
                      2,                0.26046,                0.58333,                   0.75,                 2.0977,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                0.33208,                0.58333,                   0.75,                 2.0859,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                 0.3564,                0.58333,                   0.75,                 2.0859,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                0.47847,                    0.5,                   0.75,                  2.082,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                0.47254,                    0.5,                   0.75,                 2.0781,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                 0.5016,                    0.5,                   0.75,                  2.084,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                 0.4188,                    0.5,                   0.75,                 2.0977,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                0.36494,                    0.5,                   0.75,                 2.1055,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                0.53253,                    0.5,                0.83333,                 2.1191,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                0.42583,                    0.5,                   0.75,                 2.1289,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                 0.3714,                    0.5,                0.83333,                 2.1406,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                0.28165,                   0.25,                0.83333,                 2.1543,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                0.25608,                    0.5,                0.83333,                 2.1387,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                0.16191,                    0.5,                0.83333,                 2.1504,             8.6106e-05,             8.6106e-05,             8.6106e-05
                     16,                 0.5546,                   0.25,                0.83333,                 2.1699,             9.1196e-05,             9.1196e-05,             9.1196e-05
                     17,                0.30058,                   0.25,                0.83333,                 2.1816,             9.6144e-05,             9.6144e-05,             9.6144e-05
                     18,                0.46936,                   0.25,                0.83333,                 2.1816,             0.00010095,             0.00010095,             0.00010095
                     19,                0.21849,                   0.25,                0.83333,                 2.1836,             0.00010562,             0.00010562,             0.00010562
                     20,                 0.2131,                   0.25,                0.83333,                 2.1836,             0.00011014,             0.00011014,             0.00011014
                     21,                0.17153,                   0.25,                   0.75,                 2.1875,             0.00011453,             0.00011453,             0.00011453
                     22,                 0.1949,                   0.25,                   0.75,                 2.1875,             0.00011877,             0.00011877,             0.00011877
                     23,                0.27452,                   0.25,                   0.75,                 2.1914,             0.00012287,             0.00012287,             0.00012287
                     24,                0.42493,                   0.25,                   0.75,                 2.1914,             0.00012683,             0.00012683,             0.00012683
                     25,                0.14555,                   0.25,                   0.75,                 2.1894,             0.00013064,             0.00013064,             0.00013064
                     26,                0.38516,                   0.25,                   0.75,                 2.1894,             0.00013432,             0.00013432,             0.00013432
                     27,                0.09712,                0.16667,                   0.75,                 2.1934,             0.00013786,             0.00013786,             0.00013786
                     28,                0.26954,                0.16667,                   0.75,                 2.1934,             0.00014125,             0.00014125,             0.00014125
                     29,                0.30205,                   0.25,                   0.75,                 2.1914,              0.0001445,              0.0001445,              0.0001445
                     30,                0.14293,                   0.25,                   0.75,                 2.1914,             0.00014761,             0.00014761,             0.00014761
                     31,                0.11668,                   0.25,                   0.75,                 2.1797,             0.00015058,             0.00015058,             0.00015058
                     32,                 0.0893,                   0.25,                   0.75,                 2.1797,             0.00015341,             0.00015341,             0.00015341
                     33,                0.21341,                   0.25,                   0.75,                 2.1738,              0.0001561,              0.0001561,              0.0001561
                     34,                0.33027,                   0.25,                   0.75,                 2.1738,             0.00015864,             0.00015864,             0.00015864
                     35,                0.21642,                   0.25,                0.66667,                  2.168,             0.00016105,             0.00016105,             0.00016105
                     36,                0.54496,                   0.25,                0.66667,                  2.168,             0.00016331,             0.00016331,             0.00016331
                     37,                0.17005,                   0.25,                0.66667,                 2.1543,             0.00016543,             0.00016543,             0.00016543
                     38,                0.13122,                   0.25,                0.66667,                 2.1543,             0.00016741,             0.00016741,             0.00016741
                     39,                0.21935,                0.16667,                   0.75,                 2.1445,             0.00016925,             0.00016925,             0.00016925
                     40,                0.08288,                0.16667,                   0.75,                 2.1445,             0.00017095,             0.00017095,             0.00017095
                     41,                0.32412,                   0.25,                   0.75,                 2.1523,              0.0001725,              0.0001725,              0.0001725
                     42,                0.20529,                   0.25,                   0.75,                 2.1523,             0.00017392,             0.00017392,             0.00017392
                     43,                0.47779,                   0.25,                   0.75,                  2.125,             0.00017519,             0.00017519,             0.00017519
                     44,                 0.0902,                   0.25,                   0.75,                  2.125,             0.00017632,             0.00017632,             0.00017632
